FECHA;INDICATIVO;RADIACION
01-01-2018;1387;14982
01-02-2018;1387;22421
01-03-2018;1387;32560
01-04-2018;1387;50813
01-05-2018;1387;61487
01-06-2018;1387;57463
01-07-2018;1387;63725
01-08-2018;1387;68814
01-09-2018;1387;0
01-10-2018;1387;0
01-11-2018;1387;16763
01-12-2018;1387;14293
01-01-2018;1387E;0
01-02-2018;1387E;19867
01-03-2018;1387E;28856
01-04-2018;1387E;45847
01-05-2018;1387E;57967
01-06-2018;1387E;0
01-07-2018;1387E;0
01-08-2018;1387E;63758
01-09-2018;1387E;46813
01-10-2018;1387E;0
01-11-2018;1387E;14867
01-12-2018;1387E;12497
01-01-2018;1428;12573
01-02-2018;1428;21546
01-03-2018;1428;24779
01-04-2018;1428;42270
01-05-2018;1428;56166
01-06-2018;1428;49250
01-07-2018;1428;55421
01-08-2018;1428;0
01-09-2018;1428;50363
01-10-2018;1428;34564
01-11-2018;1428;14242
01-12-2018;1428;12448
01-01-2018;8178D;28309
01-02-2018;8178D;33893
01-03-2018;8178D;0
01-04-2018;8178D;58202
01-05-2018;8178D;75163
01-06-2018;8178D;81775
01-07-2018;8178D;91186
01-08-2018;8178D;76076
01-09-2018;8178D;56840
01-10-2018;8178D;41101
01-11-2018;8178D;24746
01-12-2018;8178D;25849
01-01-2018;8019;30715
01-02-2018;8019;32418
01-03-2018;8019;48773
01-04-2018;8019;62349
01-05-2018;8019;76761
01-06-2018;8019;79046
01-07-2018;8019;86050
01-08-2018;8019;71865
01-09-2018;8019;54199
01-10-2018;8019;41157
01-11-2018;8019;26318
01-12-2018;8019;27058
01-01-2018;6325O;0
01-02-2018;6325O;39461
01-03-2018;6325O;51265
01-04-2018;6325O;64069
01-05-2018;6325O;80807
01-06-2018;6325O;85932
01-07-2018;6325O;87132
01-08-2018;6325O;79446
01-09-2018;6325O;56943
01-10-2018;6325O;42491
01-11-2018;6325O;31950
01-12-2018;6325O;30937
01-01-2018;B954;28218
01-02-2018;B954;26678
01-03-2018;B954;48815
01-04-2018;B954;0
01-05-2018;B954;70557
01-06-2018;B954;72565
01-07-2018;B954;82410
01-08-2018;B954;64938
01-09-2018;B954;49575
01-10-2018;B954;38385
01-11-2018;B954;26529
01-12-2018;B954;22338
01-01-2018;B228;26146
01-02-2018;B228;23494
01-03-2018;B228;48009
01-04-2018;B228;61234
01-05-2018;B228;71553
01-06-2018;B228;80596
01-07-2018;B228;86201
01-08-2018;B228;0
01-09-2018;B228;0
01-10-2018;B228;0
01-11-2018;B228;0
01-12-2018;B228;24806
01-01-2018;B278;23071
01-02-2018;B278;21137
01-03-2018;B278;43785
01-04-2018;B278;57636
01-05-2018;B278;66016
01-06-2018;B278;0
01-07-2018;B278;79555
01-08-2018;B278;66550
01-09-2018;B278;46232
01-10-2018;B278;34735
01-11-2018;B278;21601
01-12-2018;B278;20985
01-01-2018;0076;24959
01-02-2018;0076;22736
01-03-2018;0076;47196
01-04-2018;0076;58989
01-05-2018;0076;70004
01-06-2018;0076;0
01-07-2018;0076;82525
01-08-2018;0076;67309
01-09-2018;0076;49438
01-10-2018;0076;35293
01-11-2018;0076;20713
01-12-2018;0076;0
01-01-2018;1082;12191
01-02-2018;1082;16761
01-03-2018;1082;34665
01-04-2018;1082;44203
01-05-2018;1082;50583
01-06-2018;1082;0
01-07-2018;1082;57207
01-08-2018;1082;58409
01-09-2018;1082;46811
01-10-2018;1082;29546
01-11-2018;1082;0
01-12-2018;1082;13974
01-01-2018;3469A;25756
01-02-2018;3469A;36661
01-03-2018;3469A;44460
01-04-2018;3469A;58781
01-05-2018;3469A;75442
01-06-2018;3469A;74188
01-07-2018;3469A;90112
01-08-2018;3469A;78499
01-09-2018;3469A;59976
01-10-2018;3469A;42690
01-11-2018;3469A;23580
01-12-2018;3469A;23323
01-01-2018;5973;30593
01-02-2018;5973;39738
01-03-2018;5973;46930
01-04-2018;5973;64414
01-05-2018;5973;80620
01-06-2018;5973;80981
01-07-2018;5973;90222
01-08-2018;5973;78586
01-09-2018;5973;60741
01-10-2018;5973;45357
01-11-2018;5973;29223
01-12-2018;5973;31855
01-01-2018;5960;0
01-02-2018;5960;34342
01-03-2018;5960;41506
01-04-2018;5960;61364
01-05-2018;5960;70125
01-06-2018;5960;74414
01-07-2018;5960;82413
01-08-2018;5960;0
01-09-2018;5960;54379
01-10-2018;5960;51155
01-11-2018;5960;0
01-12-2018;5960;26853
01-01-2018;1111;15693
01-02-2018;1111;19670
01-03-2018;1111;0
01-04-2018;1111;46293
01-05-2018;1111;60845
01-06-2018;1111;61895
01-07-2018;1111;0
01-08-2018;1111;64412
01-09-2018;1111;50606
01-10-2018;1111;35245
01-11-2018;1111;24387
01-12-2018;1111;16805
01-01-2018;4121;23882
01-02-2018;4121;33160
01-03-2018;4121;42191
01-04-2018;4121;57784
01-05-2018;4121;70885
01-06-2018;4121;75302
01-07-2018;4121;92647
01-08-2018;4121;78607
01-09-2018;4121;58010
01-10-2018;4121;40301
01-11-2018;4121;23845
01-12-2018;4121;22392
01-01-2018;5402;24692
01-02-2018;5402;33762
01-03-2018;5402;39454
01-04-2018;5402;56983
01-05-2018;5402;0
01-06-2018;5402;0
01-07-2018;5402;89821
01-08-2018;5402;74948
01-09-2018;5402;0
01-10-2018;5402;39227
01-11-2018;5402;24247
01-12-2018;5402;0
01-01-2018;1024E;13512
01-02-2018;1024E;16851
01-03-2018;1024E;32174
01-04-2018;1024E;39942
01-05-2018;1024E;0
01-06-2018;1024E;0
01-07-2018;1024E;0
01-08-2018;1024E;58177
01-09-2018;1024E;48150
01-10-2018;1024E;27537
01-11-2018;1024E;17333
01-12-2018;1024E;13354
01-01-2018;0367;0
01-02-2018;0367;23449
01-03-2018;0367;45117
01-04-2018;0367;57000
01-05-2018;0367;70004
01-06-2018;0367;0
01-07-2018;0367;70867
01-08-2018;0367;0
01-09-2018;0367;44187
01-10-2018;0367;31633
01-11-2018;0367;0
01-12-2018;0367;19961
01-01-2018;5530E;26528
01-02-2018;5530E;34427
01-03-2018;5530E;39867
01-04-2018;5530E;58946
01-05-2018;5530E;69074
01-06-2018;5530E;85582
01-07-2018;5530E;94514
01-08-2018;5530E;76666
01-09-2018;5530E;55240
01-10-2018;5530E;40352
01-11-2018;5530E;23267
01-12-2018;5530E;28190
01-01-2018;5514;28585
01-02-2018;5514;36462
01-03-2018;5514;41060
01-04-2018;5514;58630
01-05-2018;5514;74500
01-06-2018;5514;84765
01-07-2018;5514;0
01-08-2018;5514;78341
01-09-2018;5514;0
01-10-2018;5514;42189
01-11-2018;5514;29175
01-12-2018;5514;0
01-01-2018;4642E;29424
01-02-2018;4642E;38782
01-03-2018;4642E;45995
01-04-2018;4642E;58711
01-05-2018;4642E;77357
01-06-2018;4642E;78728
01-07-2018;4642E;90660
01-08-2018;4642E;78318
01-09-2018;4642E;60926
01-10-2018;4642E;41088
01-11-2018;4642E;27801
01-12-2018;4642E;29100
01-01-2018;9170;20044
01-02-2018;9170;22348
01-03-2018;9170;42650
01-04-2018;9170;52065
01-05-2018;9170;61932
01-06-2018;9170;68280
01-07-2018;9170;78263
01-08-2018;9170;71676
01-09-2018;9170;0
01-10-2018;9170;33400
01-11-2018;9170;19152
01-12-2018;9170;17807
01-01-2018;C249I;0
01-02-2018;C249I;0
01-03-2018;C249I;68619
01-04-2018;C249I;75045
01-05-2018;C249I;74800
01-06-2018;C249I;79528
01-07-2018;C249I;88237
01-08-2018;C249I;78877
01-09-2018;C249I;67961
01-10-2018;C249I;54592
01-11-2018;C249I;41650
01-12-2018;C249I;42285
01-01-2018;C649I;38833
01-02-2018;C649I;37830
01-03-2018;C649I;64764
01-04-2018;C649I;70146
01-05-2018;C649I;74890
01-06-2018;C649I;82548
01-07-2018;C649I;85162
01-08-2018;C649I;78594
01-09-2018;C649I;69798
01-10-2018;C649I;50871
01-11-2018;C649I;41270
01-12-2018;C649I;44114
01-01-2018;C029O;35042
01-02-2018;C029O;42618
01-03-2018;C029O;60251
01-04-2018;C029O;69742
01-05-2018;C029O;75117
01-06-2018;C029O;69464
01-07-2018;C029O;86324
01-08-2018;C029O;71906
01-09-2018;C029O;65505
01-10-2018;C029O;51235
01-11-2018;C029O;34979
01-12-2018;C029O;37281
01-01-2018;2661;22087
01-02-2018;2661;30500
01-03-2018;2661;40602
01-04-2018;2661;53969
01-05-2018;2661;70579
01-06-2018;2661;75226
01-07-2018;2661;77340
01-08-2018;2661;78329
01-09-2018;2661;58510
01-10-2018;2661;38701
01-11-2018;2661;17707
01-12-2018;2661;16507
01-01-2018;1549;18364
01-02-2018;1549;27200
01-03-2018;1549;35147
01-04-2018;1549;53158
01-05-2018;1549;64725
01-06-2018;1549;67873
01-07-2018;1549;0
01-08-2018;1549;76332
01-09-2018;1549;55983
01-10-2018;1549;37335
01-11-2018;1549;0
01-12-2018;1549;0
01-01-2018;9771C;22314
01-02-2018;9771C;27837
01-03-2018;9771C;47290
01-04-2018;9771C;53504
01-05-2018;9771C;69664
01-06-2018;9771C;74958
01-07-2018;9771C;81822
01-08-2018;9771C;70331
01-09-2018;9771C;52980
01-10-2018;9771C;0
01-11-2018;9771C;0
01-12-2018;9771C;0
01-01-2018;3129;25357
01-02-2018;3129;30386
01-03-2018;3129;43577
01-04-2018;3129;0
01-05-2018;3129;71075
01-06-2018;3129;75092
01-07-2018;3129;92695
01-08-2018;3129;77171
01-09-2018;3129;60005
01-10-2018;3129;40268
01-11-2018;3129;23267
01-12-2018;3129;0
01-01-2018;2462;19808
01-02-2018;2462;18489
01-03-2018;2462;29110
01-04-2018;2462;48224
01-05-2018;2462;0
01-06-2018;2462;0
01-07-2018;2462;86845
01-08-2018;2462;76707
01-09-2018;2462;50542
01-10-2018;2462;33121
01-11-2018;2462;15801
01-12-2018;2462;23636
01-01-2018;7178I;30913
01-02-2018;7178I;35181
01-03-2018;7178I;50717
01-04-2018;7178I;63621
01-05-2018;7178I;80475
01-06-2018;7178I;83717
01-07-2018;7178I;89032
01-08-2018;7178I;74009
01-09-2018;7178I;0
01-10-2018;7178I;41589
01-11-2018;7178I;29225
01-12-2018;7178I;29847
01-01-2018;9263D;13842
01-02-2018;9263D;12454
01-03-2018;9263D;0
01-04-2018;9263D;47893
01-05-2018;9263D;56523
01-06-2018;9263D;64460
01-07-2018;9263D;73880
01-08-2018;9263D;67832
01-09-2018;9263D;53138
01-10-2018;9263D;31469
01-11-2018;9263D;15310
01-12-2018;9263D;13127
01-01-2018;1495;0
01-02-2018;1495;0
01-03-2018;1495;0
01-04-2018;1495;40119
01-05-2018;1495;58697
01-06-2018;1495;0
01-07-2018;1495;55891
01-08-2018;1495;63035
01-09-2018;1495;0
01-10-2018;1495;27330
01-11-2018;1495;10409
01-12-2018;1495;0
01-01-2018;2867;20926
01-02-2018;2867;28122
01-03-2018;2867;43785
01-04-2018;2867;57513
01-05-2018;2867;71346
01-06-2018;2867;72657
01-07-2018;2867;87971
01-08-2018;2867;78525
01-09-2018;2867;58915
01-10-2018;2867;38861
01-11-2018;2867;20523
01-12-2018;2867;20178
01-01-2018;C430E;0
01-02-2018;C430E;51788
01-03-2018;C430E;80959
01-04-2018;C430E;85202
01-05-2018;C430E;102707
01-06-2018;C430E;101279
01-07-2018;C430E;98213
01-08-2018;C430E;92043
01-09-2018;C430E;76897
01-10-2018;C430E;58914
01-11-2018;C430E;50209
01-12-2018;C430E;50338
01-01-2018;C449C;0
01-02-2018;C449C;40016
01-03-2018;C449C;63191
01-04-2018;C449C;72075
01-05-2018;C449C;72205
01-06-2018;C449C;82137
01-07-2018;C449C;88436
01-08-2018;C449C;83112
01-09-2018;C449C;68826
01-10-2018;C449C;51890
01-11-2018;C449C;38928
01-12-2018;C449C;0
01-01-2018;C447A;35204
01-02-2018;C447A;35564
01-03-2018;C447A;0
01-04-2018;C447A;60641
01-05-2018;C447A;69599
01-06-2018;C447A;76451
01-07-2018;C447A;82921
01-08-2018;C447A;0
01-09-2018;C447A;64918
01-10-2018;C447A;34735
01-11-2018;C447A;36543
01-12-2018;C447A;40287
01-01-2018;C429I;47931
01-02-2018;C429I;43076
01-03-2018;C429I;65566
01-04-2018;C429I;75575
01-05-2018;C429I;0
01-06-2018;C429I;73309
01-07-2018;C429I;0
01-08-2018;C429I;80824
01-09-2018;C429I;68422
01-10-2018;C429I;54848
01-11-2018;C429I;0
01-12-2018;C429I;44245
01-01-2018;5783;26240
01-02-2018;5783;36944
01-03-2018;5783;0
01-04-2018;5783;62217
01-05-2018;5783;72153
01-06-2018;5783;76830
01-07-2018;5783;88707
01-08-2018;5783;74957
01-09-2018;5783;60700
01-10-2018;5783;41285
01-11-2018;5783;26344
01-12-2018;5783;0
01-01-2018;2030;22269
01-02-2018;2030;26556
01-03-2018;2030;41285
01-04-2018;2030;53364
01-05-2018;2030;66787
01-06-2018;2030;71197
01-07-2018;2030;84657
01-08-2018;2030;78002
01-09-2018;2030;58716
01-10-2018;2030;38363
01-11-2018;2030;20764
01-12-2018;2030;0
01-01-2018;0016A;25988
01-02-2018;0016A;25921
01-03-2018;0016A;46513
01-04-2018;0016A;57267
01-05-2018;0016A;53849
01-06-2018;0016A;77572
01-07-2018;0016A;0
01-08-2018;0016A;66764
01-09-2018;0016A;52612
01-10-2018;0016A;39261
01-11-2018;0016A;24672
01-12-2018;0016A;23587
01-01-2018;9981A;25859
01-02-2018;9981A;26515
01-03-2018;9981A;39743
01-04-2018;9981A;0
01-05-2018;9981A;0
01-06-2018;9981A;74545
01-07-2018;9981A;82474
01-08-2018;9981A;69048
01-09-2018;9981A;51573
01-10-2018;9981A;39354
01-11-2018;9981A;0
01-12-2018;9981A;0
01-01-2018;8368U;26589
01-02-2018;8368U;26702
01-03-2018;8368U;0
01-04-2018;8368U;56173
01-05-2018;8368U;0
01-06-2018;8368U;0
01-07-2018;8368U;83722
01-08-2018;8368U;0
01-09-2018;8368U;0
01-10-2018;8368U;0
01-11-2018;8368U;0
01-12-2018;8368U;0
01-01-2018;3260B;0
01-02-2018;3260B;0
01-03-2018;3260B;0
01-04-2018;3260B;58022
01-05-2018;3260B;74717
01-06-2018;3260B;76413
01-07-2018;3260B;91243
01-08-2018;3260B;76685
01-09-2018;3260B;59075
01-10-2018;3260B;0
01-11-2018;3260B;23550
01-12-2018;3260B;0
01-01-2018;8414A;28041
01-02-2018;8414A;30735
01-03-2018;8414A;50235
01-04-2018;8414A;61194
01-05-2018;8414A;75123
01-06-2018;8414A;80272
01-07-2018;8414A;86206
01-08-2018;8414A;69567
01-09-2018;8414A;50486
01-10-2018;8414A;38654
01-11-2018;8414A;23149
01-12-2018;8414A;0
01-01-2018;2422;18807
01-02-2018;2422;28931
01-03-2018;2422;41493
01-04-2018;2422;54448
01-05-2018;2422;73524
01-06-2018;2422;73634
01-07-2018;2422;86016
01-08-2018;2422;80057
01-09-2018;2422;59947
01-10-2018;2422;38820
01-11-2018;2422;20231
01-12-2018;2422;16442
